title,product_type,size,size_factor,pathway,tailored,natural_dye,dye_type,gsm,metres_per_unit,fabric_kg_per_unit,E_transport,E_electricity,E_water,E_tailoring,E_total_kg_co2e,avoided_kg_co2e
Single Strap Dress in White/Red Stripe,Dress,M,1.0,A,Yes,Yes,Huchang-Red,160,1.8,0.2736,1.3633,0.2257,0.00113,0.2298,1.8199,0
Single Strap Dress in White/Red Stripe,Dress,L,1.1,A,Yes,Yes,Huchang-Red,160,1.98,0.301,1.4999,0.2483,0.00124,0.2528,2.0022,0
Single Strap Dress in White/Red Stripe,Dress,XL,1.2,A,Yes,Yes,Huchang-Red,160,2.16,0.3283,1.6359,0.2708,0.00136,0.2758,2.1839,0
Sleeveless Back Ribbon Halterneck Top',Tank Top,S,0.88,A,Yes,No,Undyed,100,0.528,0.0502,0.2501,0.0414,0,0.0422,0.3337,0
Sleeveless Back Ribbon Halterneck Top',Tank Top,M,1.0,A,Yes,No,Undyed,100,0.6,0.057,0.2840,0.047,0,0.0479,0.3789,0
Sleeveless Back Ribbon Halterneck Top',Tank Top,L,1.1,A,Yes,No,Undyed,100,0.66,0.0627,0.3124,0.0517,0,0.0527,0.4168,0
Sleeveless Back Ribbon Halterneck Top',Tank Top,XL,1.2,A,Yes,No,Undyed,100,0.72,0.0684,0.3408,0.0564,0,0.0575,0.4547,0
Double Pockets Shorts (Pre-order)',Trousers,S,0.88,A,Yes,No,Undyed,160,2.464,0.3745,1.8661,0.3089,0,0.3146,2.4896,0
Double Pockets Shorts (Pre-order)',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Double Pockets Shorts (Pre-order)',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Double Pockets Shorts (Pre-order)',Trousers,XL,1.2,A,Yes,No,Undyed,160,3.36,0.5107,2.5448,0.4213,0,0.429,3.3951,0
Georgia's 6 Panel Skirt,Skirt,S,0.88,A,Yes,No,Undyed,160,1.232,0.1873,0.9333,0.1545,0,0.1573,1.2451,0
Georgia's 6 Panel Skirt,Skirt,M,1.0,A,Yes,No,Undyed,160,1.4,0.2128,1.0604,0.1755,0,0.1788,1.4147,0
Georgia's 6 Panel Skirt,Skirt,L,1.1,A,Yes,No,Undyed,160,1.54,0.2341,1.1665,0.1931,0,0.1966,1.5562,0
Georgia's 6 Panel Skirt,Skirt,XL,1.2,A,Yes,No,Undyed,160,1.68,0.2554,1.2727,0.2107,0,0.2145,1.6979,0
Double Pockets Wide Trousers',Trousers,S,0.88,A,Yes,No,Undyed,160,2.464,0.3745,1.8661,0.3089,0,0.3146,2.4896,0
Double Pockets Wide Trousers',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Double Pockets Wide Trousers',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Double Pockets Wide Trousers',Trousers,XL,1.2,A,Yes,No,Undyed,160,3.36,0.5107,2.5448,0.4213,0,0.429,3.3951,0
Closed-loop Layered-back Tee (Genderless) (Pre-order)',Blouse,M,1.0,B,Yes,Yes,Huchang-Red,130,1.3,0.1605,0.7998,0.1324,0.00066,0.1348,1.0677,0.1748
Closed-loop Layered-back Tee (Genderless) (Pre-order)',Blouse,L,1.1,B,Yes,Yes,Huchang-Red,130,1.43,0.1766,0.8800,0.1457,0.00073,0.1483,1.1747,0.1923
Closed-loop Layered-back Tee (Genderless) (Pre-order)',Blouse,XL,1.2,B,Yes,Yes,Huchang-Red,130,1.56,0.1927,0.9602,0.159,0.0008,0.1619,1.2819,0.2099
Sleeveless Halterneck Top (Pre-order)',Tank Top,S,0.88,A,Yes,No,Undyed,100,0.528,0.0502,0.2501,0.0414,0,0.0422,0.3337,0
Sleeveless Halterneck Top (Pre-order)',Tank Top,M,1.0,A,Yes,No,Undyed,100,0.6,0.057,0.2840,0.047,0,0.0479,0.3789,0
Sleeveless Halterneck Top (Pre-order)',Tank Top,L,1.1,A,Yes,No,Undyed,100,0.66,0.0627,0.3124,0.0517,0,0.0527,0.4168,0
Sleeveless Halterneck Top (Pre-order)',Tank Top,XL,1.2,A,Yes,No,Undyed,100,0.72,0.0684,0.3408,0.0564,0,0.0575,0.4547,0
Cropped Wide Trousers (Pre-order)',Trousers,S,0.88,A,Yes,No,Undyed,160,2.464,0.3745,1.8661,0.3089,0,0.3146,2.4896,0
Cropped Wide Trousers (Pre-order)',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Cropped Wide Trousers (Pre-order)',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Cropped Wide Trousers (Pre-order)',Trousers,XL,1.2,A,Yes,No,Undyed,160,3.36,0.5107,2.5448,0.4213,0,0.429,3.3951,0
"Split Mid-sleeve Blouse ""Pony"" (Pre-order)",Shirt,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
"Split Mid-sleeve Blouse ""Pony"" (Pre-order)",Shirt,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
"Split Mid-sleeve Blouse ""Pony"" (Pre-order)",Shirt,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
"Split Mid-sleeve Blouse ""Pony"" (Pre-order)",Shirt,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
"Split Mid-sleeve Blouse ""Pony"" (Pre-order)",Shirt,XXL,1.3,A,Yes,No,Undyed,160,1.69,0.2569,1.2801,0.2119,0,0.2158,1.7078,0
"Split Mid-sleeve Blouse ""Pony"" (Pre-order)",Shirt,XXXL,1.4,A,Yes,No,Undyed,160,1.82,0.2766,1.3783,0.2282,0,0.2323,1.8388,0
Cullotte Shorts (Pre-order)',Trousers,S,0.88,A,Yes,No,Undyed,160,2.464,0.3745,1.8661,0.3089,0,0.3146,2.4896,0
Cullotte Shorts (Pre-order)',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Cullotte Shorts (Pre-order)',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
R-Muay Side Button Blouse W/Br,Blouse,M,1.0,A,Yes,Yes,Ebony/White,160,1.3,0.1976,0.9846,0.163,0.00082,0.166,1.3144,0
R-Muay Side Button Blouse W/Br,Blouse,L,1.1,A,Yes,Yes,Ebony/White,160,1.43,0.2174,1.0833,0.1793,0.0009,0.1826,1.4461,0
R-Muay Side Button Blouse W/Br,Blouse,XL,1.2,A,Yes,Yes,Ebony/White,160,1.56,0.2371,1.1815,0.1956,0.00098,0.1992,1.5773,0
U Neck  Tank Tops Brown,Tank Top,S,0.88,A,Yes,No,Undyed,100,0.528,0.0502,0.2501,0.0414,0,0.0422,0.3337,0
U Neck  Tank Tops Brown,Tank Top,M,1.0,A,Yes,No,Undyed,100,0.6,0.057,0.2840,0.047,0,0.0479,0.3789,0
U Neck  Tank Tops Brown,Tank Top,L,1.1,A,Yes,No,Undyed,100,0.66,0.0627,0.3124,0.0517,0,0.0527,0.4168,0
U Neck  Tank Tops Brown,Tank Top,XL,1.2,A,Yes,No,Undyed,100,0.72,0.0684,0.3408,0.0564,0,0.0575,0.4547,0
Layered-back Camisole (Pre-order)',Shirt,S,0.88,A,Yes,Yes,Huchang-Red,160,1.144,0.1739,0.8665,0.1435,0.00072,0.1461,1.1568,0
Layered-back Camisole (Pre-order)',Shirt,M,1.0,A,Yes,Yes,Huchang-Red,160,1.3,0.1976,0.9846,0.163,0.00082,0.166,1.3144,0
Layered-back Camisole (Pre-order)',Shirt,L,1.1,A,Yes,Yes,Huchang-Red,160,1.43,0.2174,1.0833,0.1793,0.0009,0.1826,1.4461,0
Layered-back Camisole (Pre-order)',Shirt,XL,1.2,A,Yes,Yes,Huchang-Red,160,1.56,0.2371,1.1815,0.1956,0.00098,0.1992,1.5773,0
U Neck Tee Blouse White,Blouse,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
U Neck Tee Blouse White,Blouse,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
U Neck Tee Blouse White,Blouse,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
U Neck Tee Blouse White,Blouse,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Cullottes (Pre-order)',Trousers,S,0.88,A,Yes,No,Undyed,160,2.464,0.3745,1.8661,0.3089,0,0.3146,2.4896,0
Cullottes (Pre-order)',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Cullottes (Pre-order)',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Organic & Natural Brown Cotton /Meter,Fabric,F,1.0,A,No,No,Natural,160,1.0,0.152,0.7574,0.1254,0,0,0.8828,0
